Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.686552971571888,7.686552971571888
House=Price Growth %,5.868236594887588,-5.868236594887588
%=CQC Good,2.908179863230356,2.908179863230356
%=CQC Outstanding,0.5936166591833815,-0.5936166591833815
%=CQC Inadequate,0.5701893417242481,0.5701893417242481
Total=Population,0.15479765969242773,0.15479765969242773
Percent=65plus,0.15393678569897584,0.15393678569897584
GDHI=per head 2022,0.0769007131456418,-0.0769007131456418
Care=Homes per 10k,0.058707964435785166,-0.058707964435785166
%=CQC NotRated,0.0,0.0
