Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.730683993542431,6.730683993542431
%=CQC Good,1.502760062807163,1.502760062807163
House=Price Growth %,0.6089586138216017,0.6089586138216017
GDHI=per head 2022,0.14305402921230362,0.14305402921230362
%=CQC Outstanding,0.13926591341896327,0.13926591341896327
%=CQC Inadequate,0.1219890842768795,0.1219890842768795
Total=Population,0.1157892273521656,-0.1157892273521656
Percent=65plus,0.0767191878003647,-0.0767191878003647
Care=Homes per 10k,0.06770859166134996,-0.06770859166134996
%=CQC NotRated,0.0,0.0
