Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,5.747393073278176,-5.747393073278176
%=CQC RequiresImprovement,0.47619844549340845,-0.47619844549340845
%=CQC Good,0.4173988298403867,-0.4173988298403867
%=CQC Inadequate,0.34105343171592495,0.34105343171592495
%=CQC Outstanding,0.20229836622829153,0.20229836622829153
Total=Population,0.15849887170878443,0.15849887170878443
GDHI=per head 2022,0.1362787716509585,-0.1362787716509585
Care=Homes per 10k,0.10833603768107326,0.10833603768107326
Percent=65plus,0.034422896805670226,-0.034422896805670226
%=CQC NotRated,0.0,0.0
