Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.9694069430295915,-6.9694069430295915
House=Price Growth %,3.591581994752472,3.591581994752472
%=CQC Good,1.0061036965672518,-1.0061036965672518
Total=Population,0.12948363776349375,-0.12948363776349375
%=CQC Inadequate,0.10038255912344235,-0.10038255912344235
%=CQC Outstanding,0.07662132463776662,0.07662132463776662
Percent=65plus,0.0720183653490638,-0.0720183653490638
Care=Homes per 10k,0.0427050699376113,0.0427050699376113
GDHI=per head 2022,0.012618497229478644,-0.012618497229478644
%=CQC NotRated,0.0,0.0
