Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.790750439139029,3.790750439139029
%=CQC RequiresImprovement,2.224781345134142,-2.224781345134142
%=CQC Good,0.7893673426400216,-0.7893673426400216
%=CQC Outstanding,0.22188462466587403,0.22188462466587403
%=CQC Inadequate,0.21650584856398356,-0.21650584856398356
GDHI=per head 2022,0.10679055466016696,-0.10679055466016696
Total=Population,0.10527682282349617,-0.10527682282349617
Percent=65plus,0.0395610345238187,0.0395610345238187
Care=Homes per 10k,0.006579494241422648,-0.006579494241422648
%=CQC NotRated,0.0,0.0
