Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.803651786914154,-7.803651786914154
House=Price Growth %,4.7309519291186914,-4.7309519291186914
%=CQC Good,2.007435295011874,-2.007435295011874
Percent=65plus,1.6857358484396567,-1.6857358484396567
%=CQC Inadequate,0.5665003297789837,0.5665003297789837
Care=Homes per 10k,0.4630341017536936,-0.4630341017536936
%=CQC Outstanding,0.17832857141970787,0.17832857141970787
Total=Population,0.12848189207229868,-0.12848189207229868
GDHI=per head 2022,0.006656642377123189,0.006656642377123189
%=CQC NotRated,0.0,0.0
