Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,11.633949537656676,11.633949537656676
House=Price Growth %,7.790318477679413,-7.790318477679413
%=CQC Good,2.2287246360317527,2.2287246360317527
Percent=65plus,0.898320712862955,-0.898320712862955
%=CQC Outstanding,0.2935375711881372,0.2935375711881372
Total=Population,0.2525908638817842,-0.2525908638817842
%=CQC Inadequate,0.2191764509145644,-0.2191764509145644
Care=Homes per 10k,0.19445810599666413,-0.19445810599666413
GDHI=per head 2022,0.028152443275692322,-0.028152443275692322
%=CQC NotRated,0.0,0.0
