Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.2219594087764225,6.2219594087764225
House=Price Growth %,1.690082231983847,-1.690082231983847
%=CQC Good,0.6725329730016205,0.6725329730016205
%=CQC Inadequate,0.22958448169074985,-0.22958448169074985
GDHI=per head 2022,0.12325688587875266,-0.12325688587875266
%=CQC Outstanding,0.07972373498784112,0.07972373498784112
Total=Population,0.07797355201471286,0.07797355201471286
Percent=65plus,0.06555341276117627,-0.06555341276117627
Care=Homes per 10k,0.020417966200585114,-0.020417966200585114
%=CQC NotRated,0.0,0.0
