Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.285152038969472,7.285152038969472
House=Price Growth %,2.401439068900448,2.401439068900448
Percent=65plus,0.7136269207390952,0.7136269207390952
Total=Population,0.20870038222396362,0.20870038222396362
%=CQC Outstanding,0.20061561005252096,0.20061561005252096
%=CQC Inadequate,0.18403898776704242,-0.18403898776704242
GDHI=per head 2022,0.14715113967544033,0.14715113967544033
%=CQC Good,0.12784868192033488,-0.12784868192033488
Care=Homes per 10k,0.014797199391931606,0.014797199391931606
%=CQC NotRated,0.0,0.0
