Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.7916241399751494,3.7916241399751494
House=Price Growth %,1.037559390174821,-1.037559390174821
%=CQC Inadequate,0.6322846240736475,0.6322846240736475
%=CQC Good,0.5453459107625453,0.5453459107625453
Care=Homes per 10k,0.23082147134975894,-0.23082147134975894
GDHI=per head 2022,0.1786363236484079,0.1786363236484079
Percent=65plus,0.11347468368597063,-0.11347468368597063
Total=Population,0.0693741487368178,-0.0693741487368178
%=CQC Outstanding,0.03753338575311031,0.03753338575311031
%=CQC NotRated,0.0,0.0
