Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,2.8336373758528524,-2.8336373758528524
%=CQC Good,0.36234114499302855,-0.36234114499302855
%=CQC Inadequate,0.21324406506974383,-0.21324406506974383
%=CQC RequiresImprovement,0.20741250144070675,0.20741250144070675
Care=Homes per 10k,0.13709201436921203,-0.13709201436921203
Total=Population,0.11607518296977691,-0.11607518296977691
Percent=65plus,0.09233018932058124,0.09233018932058124
%=CQC Outstanding,0.07983669510441767,-0.07983669510441767
GDHI=per head 2022,0.07307847786323615,0.07307847786323615
%=CQC NotRated,0.0,0.0
