Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.803118151011597,-3.803118151011597
House=Price Growth %,2.5685574042742267,-2.5685574042742267
%=CQC Inadequate,0.25770663084229084,-0.25770663084229084
%=CQC Outstanding,0.20204217427072269,-0.20204217427072269
Total=Population,0.08462383640635116,0.08462383640635116
Percent=65plus,0.06214141724917026,0.06214141724917026
%=CQC Good,0.047726142566193355,-0.047726142566193355
GDHI=per head 2022,0.0285515699837633,-0.0285515699837633
Care=Homes per 10k,0.02023150955876825,0.02023150955876825
%=CQC NotRated,0.0,0.0
