Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.44630330980153,-8.44630330980153
House=Price Growth %,3.330128038678656,3.330128038678656
%=CQC Good,1.0804329163023418,-1.0804329163023418
%=CQC Outstanding,0.6468727599730216,-0.6468727599730216
Care=Homes per 10k,0.3325314520357114,-0.3325314520357114
Percent=65plus,0.21876895338107333,-0.21876895338107333
%=CQC Inadequate,0.21620642122413217,-0.21620642122413217
Total=Population,0.11583550715613153,-0.11583550715613153
GDHI=per head 2022,0.06891797146079705,0.06891797146079705
%=CQC NotRated,0.0,0.0
