Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.8469759708029474,3.8469759708029474
%=CQC RequiresImprovement,3.644907999158585,3.644907999158585
%=CQC Good,0.5792969378536512,-0.5792969378536512
Percent=65plus,0.3813490702055849,0.3813490702055849
%=CQC Inadequate,0.2499247328649234,0.2499247328649234
GDHI=per head 2022,0.210400845357696,0.210400845357696
Total=Population,0.1976852869639859,-0.1976852869639859
%=CQC Outstanding,0.13023464387693,0.13023464387693
Care=Homes per 10k,0.022783652816473172,0.022783652816473172
%=CQC NotRated,0.0,0.0
