LAD_name,Investment_Potential_Score,Top1_Feature,Top1_Dir,Top1_SignedSHAP,Top2_Feature,Top2_Dir,Top2_SignedSHAP,Top3_Feature,Top3_Dir,Top3_SignedSHAP
Adur,18.43861414268692,%=CQC RequiresImprovement,↓,-6.998832580826554,House=Price Growth %,↑,6.476392878560234,%=CQC Good,↓,-1.472572284209536
Amber Valley,16.089059564433466,House=Price Growth %,↑,3.850112044348708,%=CQC RequiresImprovement,↓,-1.1044238632535863,%=CQC Good,↓,-0.5788880024328956
Arun,17.866489075217455,House=Price Growth %,↑,3.0759412085397524,%=CQC RequiresImprovement,↑,2.783235840156582,%=CQC Good,↓,-1.260577781597434
Ashfield,14.367368201344105,%=CQC RequiresImprovement,↓,-6.193156429034858,House=Price Growth %,↑,3.3829836234637742,%=CQC Good,↓,-0.7448858292621192
Ashford,7.52489147538668,%=CQC RequiresImprovement,↓,-6.996173356517096,House=Price Growth %,↓,-3.8880951509883097,%=CQC Good,↓,-1.9396044545547428
Babergh,21.299046786762556,House=Price Growth %,↑,6.240875889707887,%=CQC RequiresImprovement,↓,-5.193947100515313,%=CQC Good,↓,-1.3582979933673305
Barking And Dagenham,,House=Price Growth %,↓,-10.968272988920454,%=CQC RequiresImprovement,↓,-5.544516905943198,Percent=65plus,↓,-1.350495791687004
Barnet,15.136634987077866,%=CQC RequiresImprovement,↑,2.814324363267512,House=Price Growth %,↑,1.4271207124951877,%=CQC Good,↓,-1.139541439789563
Barnsley,14.852479936619035,House=Price Growth %,↑,4.107091385555439,%=CQC Inadequate,↑,0.4327335771942399,%=CQC RequiresImprovement,↓,-0.224495168625676
Basildon,11.08512422471292,%=CQC RequiresImprovement,↑,2.8986390668898103,%=CQC Good,↓,-0.507421670668572,Care=Homes per 10k,↓,-0.2926257284323139
Basingstoke And Deane,,%=CQC RequiresImprovement,↓,-6.517325128034895,House=Price Growth %,↑,3.467333361384881,%=CQC Good,↓,-0.7707656856637325
Bassetlaw,21.46123750549591,%=CQC RequiresImprovement,↑,7.316644199788933,House=Price Growth %,↑,5.994228061006201,%=CQC Good,↑,1.5921453734276774
Bath And North East Somerset,,House=Price Growth %,↑,4.88178770948575,%=CQC Good,↓,-1.1337347405591212,%=CQC Outstanding,↑,0.1888432034139383
Bedford,9.67496495840679,%=CQC RequiresImprovement,↑,4.733414144727926,House=Price Growth %,↓,-3.197232892735021,%=CQC Good,↑,0.6554242057947696
Bexley,10.101239603568938,House=Price Growth %,↓,-2.66488699486108,%=CQC Inadequate,↑,0.8132971712068537,%=CQC RequiresImprovement,↓,-0.4101317536376515
Birmingham,9.46762361615332,%=CQC RequiresImprovement,↑,5.514313099247066,House=Price Growth %,↓,-1.9668463281919597,Percent=65plus,↓,-0.9563562836161842
Blaby,9.819227535644693,%=CQC RequiresImprovement,↓,-5.930708241326014,House=Price Growth %,↓,-2.109446484133082,%=CQC Good,↓,-1.1620428914461858
Blackburn With Darwen,,House=Price Growth %,↓,-5.713471701433908,%=CQC RequiresImprovement,↑,4.46890887464047,Percent=65plus,↓,-0.7447006467264329
Blackpool,12.15513838551829,%=CQC RequiresImprovement,↑,3.71969620956268,GDHI=per head 2022,↓,-0.3902099745512888,%=CQC Outstanding,↓,-0.3242547089280578
Bolsover,19.409718395316347,House=Price Growth %,↑,7.029549913167865,%=CQC RequiresImprovement,↓,-5.188965304299173,%=CQC Good,↓,-1.3035437968287975
Bolton,12.878970358834394,%=CQC RequiresImprovement,↑,3.9624007891915465,House=Price Growth %,↓,-1.3461013832770905,GDHI=per head 2022,↓,-0.4142811982945541
Boston,14.292219038658256,House=Price Growth %,↑,4.259694053020085,%=CQC RequiresImprovement,↓,-1.2599236561238203,%=CQC Inadequate,↑,0.6807682720038444
Bournemouth Christchurch And Poole,,%=CQC RequiresImprovement,↓,-7.9832552797449985,%=CQC Good,↓,-1.7702771686656966,House=Price Growth %,↓,-1.0913044758588808
Bracknell Forest,9.134834222495083,%=CQC RequiresImprovement,↑,10.752936771464856,%=CQC Good,↑,5.588216129888894,House=Price Growth %,↓,-3.873582033047162
Bradford,11.623750729769394,%=CQC RequiresImprovement,↑,4.564021579138043,House=Price Growth %,↑,1.959191518207405,Percent=65plus,↓,-0.61472611191656
Braintree,9.839020891487673,%=CQC RequiresImprovement,↑,4.4185464518107045,House=Price Growth %,↓,-2.639115811913716,%=CQC Good,↓,-0.7802064721596405
Breckland,15.805635867125115,%=CQC RequiresImprovement,↑,6.9804028659376085,House=Price Growth %,↑,3.4702782250418536,%=CQC Good,↑,3.443363323729739
Brent,3.747792941506098,House=Price Growth %,↓,-10.69632052067554,%=CQC RequiresImprovement,↓,-5.492026309212939,Percent=65plus,↓,-1.1392909874889574
Brentwood,10.001699954216903,%=CQC RequiresImprovement,↑,6.676074929018398,House=Price Growth %,↓,-3.137534118660441,%=CQC Good,↑,1.1614957810066102
Brighton And Hove,,House=Price Growth %,↓,-3.6176566886928914,%=CQC RequiresImprovement,↓,-3.074982709639562,Percent=65plus,↓,-0.7359417096695033
Bristol City Of,,%=CQC RequiresImprovement,↓,-8.407875108948407,%=CQC Good,↓,-1.8480637574862355,Percent=65plus,↓,-1.2296607878455346
Broadland,15.528722945073609,%=CQC RequiresImprovement,↑,8.634402129034736,House=Price Growth %,↑,2.326479046668485,%=CQC Good,↑,1.351667474009456
Bromley,13.688101077167422,%=CQC RequiresImprovement,↓,-5.338202597230541,House=Price Growth %,↑,2.260902951772119,%=CQC Good,↓,-1.0138603570035944
Bromsgrove,17.44507698567908,House=Price Growth %,↑,4.8787149549224615,%=CQC RequiresImprovement,↓,-1.187954275913768,%=CQC Good,↓,-0.6355577798226721
Broxbourne,10.727427447021595,%=CQC RequiresImprovement,↑,3.8872091097502506,House=Price Growth %,↓,-1.3887422590020249,%=CQC Good,↑,0.7316696042815044
