Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.850112044348708,3.850112044348708
%=CQC RequiresImprovement,1.1044238632535863,-1.1044238632535863
%=CQC Good,0.5788880024328956,-0.5788880024328956
Percent=65plus,0.4503822636331609,0.4503822636331609
%=CQC Inadequate,0.16949843069656467,-0.16949843069656467
Total=Population,0.11440675652002451,-0.11440675652002451
%=CQC Outstanding,0.10041683793718638,0.10041683793718638
GDHI=per head 2022,0.09552711584772289,-0.09552711584772289
Care=Homes per 10k,0.05002771309722039,0.05002771309722039
%=CQC NotRated,0.0,0.0
