Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.0759412085397524,3.0759412085397524
%=CQC RequiresImprovement,2.783235840156582,2.783235840156582
%=CQC Good,1.260577781597434,-1.260577781597434
Percent=65plus,0.8536971861069643,0.8536971861069643
Care=Homes per 10k,0.22295071662386404,0.22295071662386404
Total=Population,0.14804444871274836,-0.14804444871274836
%=CQC Inadequate,0.14563928741853122,-0.14563928741853122
GDHI=per head 2022,0.11839661461119969,0.11839661461119969
%=CQC Outstanding,0.09813464195585324,0.09813464195585324
%=CQC NotRated,0.0,0.0
