Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.193156429034858,-6.193156429034858
House=Price Growth %,3.3829836234637742,3.3829836234637742
%=CQC Good,0.7448858292621192,-0.7448858292621192
GDHI=per head 2022,0.25908845975319256,-0.25908845975319256
%=CQC Inadequate,0.19948318180807534,0.19948318180807534
Care=Homes per 10k,0.18660291739296364,0.18660291739296364
%=CQC Outstanding,0.1694604891403901,0.1694604891403901
Total=Population,0.03036938470201367,-0.03036938470201367
Percent=65plus,0.013435418787491583,-0.013435418787491583
%=CQC NotRated,0.0,0.0
