Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.996173356517096,-6.996173356517096
House=Price Growth %,3.8880951509883097,-3.8880951509883097
%=CQC Good,1.9396044545547428,-1.9396044545547428
%=CQC Inadequate,0.18289647498315145,-0.18289647498315145
%=CQC Outstanding,0.13725649927678468,0.13725649927678468
Care=Homes per 10k,0.1311069033983071,0.1311069033983071
Total=Population,0.034042860415522694,-0.034042860415522694
GDHI=per head 2022,0.032360892207488015,0.032360892207488015
Percent=65plus,0.014082692841720004,0.014082692841720004
%=CQC NotRated,0.0,0.0
