Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,10.968272988920454,-10.968272988920454
%=CQC RequiresImprovement,5.544516905943198,-5.544516905943198
Percent=65plus,1.350495791687004,-1.350495791687004
%=CQC Good,1.199674851325718,-1.199674851325718
Care=Homes per 10k,0.29492785479787614,-0.29492785479787614
%=CQC Outstanding,0.13339306060600553,0.13339306060600553
%=CQC Inadequate,0.13298728738129165,-0.13298728738129165
Total=Population,0.11360480806324391,-0.11360480806324391
GDHI=per head 2022,0.04401788222174833,-0.04401788222174833
%=CQC NotRated,0.0,0.0
