Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,2.8143243632675117,2.8143243632675117
House=Price Growth %,1.4271207124951875,1.4271207124951875
%=CQC Good,1.1395414397895627,-1.1395414397895627
Percent=65plus,0.46288666931692496,-0.46288666931692496
GDHI=per head 2022,0.3175366232104435,0.3175366232104435
Total=Population,0.2624396503297467,-0.2624396503297467
%=CQC Inadequate,0.1416626073809711,-0.1416626073809711
%=CQC Outstanding,0.12157867804228423,0.12157867804228423
Care=Homes per 10k,0.045135319932721386,-0.045135319932721386
%=CQC NotRated,0.0,0.0
