Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.107091385555439,4.107091385555439
%=CQC Inadequate,0.43273357719423994,0.43273357719423994
%=CQC RequiresImprovement,0.22449516862567606,-0.22449516862567606
Total=Population,0.20151248160299465,-0.20151248160299465
Percent=65plus,0.16853821494225954,0.16853821494225954
GDHI=per head 2022,0.15462085725803332,-0.15462085725803332
%=CQC Outstanding,0.1510407412834178,0.1510407412834178
%=CQC Good,0.10241835243339685,-0.10241835243339685
Care=Homes per 10k,0.06033763121021428,0.06033763121021428
%=CQC NotRated,0.0,0.0
