Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,2.8986390668898103,2.8986390668898103
%=CQC Good,0.507421670668572,-0.507421670668572
Care=Homes per 10k,0.29262572843231394,-0.29262572843231394
%=CQC Outstanding,0.2522746544318959,-0.2522746544318959
Percent=65plus,0.24312439113752685,-0.24312439113752685
%=CQC Inadequate,0.22663030254019798,-0.22663030254019798
GDHI=per head 2022,0.14346094720333744,0.14346094720333744
Total=Population,0.13901369218342355,-0.13901369218342355
House=Price Growth %,0.0048851155662781405,0.0048851155662781405
%=CQC NotRated,0.0,0.0
