Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.517325128034895,-6.517325128034895
House=Price Growth %,3.467333361384881,3.467333361384881
%=CQC Good,0.7707656856637325,-0.7707656856637325
%=CQC Inadequate,0.20948379456697971,-0.20948379456697971
Percent=65plus,0.18833097977844968,-0.18833097977844968
Total=Population,0.11799526933104823,-0.11799526933104823
GDHI=per head 2022,0.10770310899211955,0.10770310899211955
%=CQC Outstanding,0.0722832162757372,-0.0722832162757372
Care=Homes per 10k,0.024442293539381085,0.024442293539381085
%=CQC NotRated,0.0,0.0
