Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.88178770948575,4.88178770948575
%=CQC Good,1.1337347405591212,-1.1337347405591212
%=CQC Outstanding,0.18884320341393834,0.18884320341393834
GDHI=per head 2022,0.16977352596210898,0.16977352596210898
%=CQC Inadequate,0.14808930467224735,-0.14808930467224735
Percent=65plus,0.1277584591424936,0.1277584591424936
Total=Population,0.10813479222023939,-0.10813479222023939
%=CQC RequiresImprovement,0.0655407562954797,-0.0655407562954797
Care=Homes per 10k,0.01663138600828231,0.01663138600828231
%=CQC NotRated,0.0,0.0
