Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.733414144727926,4.733414144727926
House=Price Growth %,3.197232892735021,-3.197232892735021
%=CQC Good,0.6554242057947696,0.6554242057947696
Percent=65plus,0.2595983855750815,-0.2595983855750815
Care=Homes per 10k,0.2259155825715696,0.2259155825715696
Total=Population,0.20826737583729402,-0.20826737583729402
GDHI=per head 2022,0.12987275234039863,0.12987275234039863
%=CQC Inadequate,0.07573800387174512,-0.07573800387174512
%=CQC Outstanding,0.011095337150008973,-0.011095337150008973
%=CQC NotRated,0.0,0.0
