Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,2.66488699486108,-2.66488699486108
%=CQC Inadequate,0.8132971712068537,0.8132971712068537
%=CQC RequiresImprovement,0.4101317536376515,-0.4101317536376515
%=CQC Outstanding,0.1885876035273012,0.1885876035273012
Percent=65plus,0.15543016722035727,-0.15543016722035727
Total=Population,0.10020299084435767,-0.10020299084435767
%=CQC Good,0.08499405238749187,0.08499405238749187
Care=Homes per 10k,0.08316055567074634,-0.08316055567074634
GDHI=per head 2022,0.07372832537804867,0.07372832537804867
%=CQC NotRated,0.0,0.0
