Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.514313099247066,5.514313099247066
House=Price Growth %,1.9668463281919595,-1.9668463281919595
Percent=65plus,0.9563562836161842,-0.9563562836161842
%=CQC Good,0.679246832065679,-0.679246832065679
GDHI=per head 2022,0.30735798857096946,-0.30735798857096946
%=CQC Inadequate,0.2011350251940839,-0.2011350251940839
Total=Population,0.19822619745001968,-0.19822619745001968
%=CQC Outstanding,0.17019274650377877,0.17019274650377877
Care=Homes per 10k,0.05104250039644661,-0.05104250039644661
%=CQC NotRated,0.0,0.0
