Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.930708241326014,-5.930708241326014
House=Price Growth %,2.109446484133082,-2.109446484133082
%=CQC Good,1.1620428914461858,-1.1620428914461858
%=CQC Inadequate,0.24749757724644617,-0.24749757724644617
Care=Homes per 10k,0.23218598658529407,-0.23218598658529407
Percent=65plus,0.17461243823934788,0.17461243823934788
Total=Population,0.07963741583280637,0.07963741583280637
GDHI=per head 2022,0.07426788254312588,-0.07426788254312588
%=CQC Outstanding,0.03159389947346786,0.03159389947346786
%=CQC NotRated,0.0,0.0
