Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,5.713471701433908,-5.713471701433908
%=CQC RequiresImprovement,4.46890887464047,4.46890887464047
Percent=65plus,0.7447006467264329,-0.7447006467264329
%=CQC Good,0.7038117987339897,-0.7038117987339897
Total=Population,0.27045164900227237,-0.27045164900227237
%=CQC Outstanding,0.1848882185020596,0.1848882185020596
GDHI=per head 2022,0.17595871479406774,-0.17595871479406774
%=CQC Inadequate,0.07513476483894321,-0.07513476483894321
Care=Homes per 10k,0.03682687265256228,0.03682687265256228
%=CQC NotRated,0.0,0.0
