Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.7196962095626795,3.7196962095626795
GDHI=per head 2022,0.39020997455128886,-0.39020997455128886
%=CQC Outstanding,0.3242547089280578,-0.3242547089280578
House=Price Growth %,0.20171331562707584,-0.20171331562707584
%=CQC Inadequate,0.17846439407306025,-0.17846439407306025
Total=Population,0.15274898146556723,-0.15274898146556723
Care=Homes per 10k,0.13062192459859162,0.13062192459859162
Percent=65plus,0.025884196256879224,0.025884196256879224
%=CQC Good,0.025716265507587648,-0.025716265507587648
%=CQC NotRated,0.0,0.0
