Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,7.029549913167865,7.029549913167865
%=CQC RequiresImprovement,5.188965304299173,-5.188965304299173
%=CQC Good,1.3035437968287975,-1.3035437968287975
Percent=65plus,0.3648787261870868,0.3648787261870868
%=CQC Outstanding,0.24261559995855903,0.24261559995855903
%=CQC Inadequate,0.16023495159044338,-0.16023495159044338
GDHI=per head 2022,0.1542020772348942,-0.1542020772348942
Care=Homes per 10k,0.13648330105989218,0.13648330105989218
Total=Population,0.12241327984538586,0.12241327984538586
%=CQC NotRated,0.0,0.0
