Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.9624007891915465,3.9624007891915465
House=Price Growth %,1.3461013832770903,-1.3461013832770903
GDHI=per head 2022,0.4142811982945541,-0.4142811982945541
Percent=65plus,0.3840460756237178,-0.3840460756237178
Care=Homes per 10k,0.21984270359299404,-0.21984270359299404
Total=Population,0.19708758404070476,-0.19708758404070476
%=CQC Inadequate,0.19315910228875127,-0.19315910228875127
%=CQC Good,0.1816009843889996,-0.1816009843889996
%=CQC Outstanding,0.1257870674192486,-0.1257870674192486
%=CQC NotRated,0.0,0.0
