Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.259694053020085,4.259694053020085
%=CQC RequiresImprovement,1.2599236561238205,-1.2599236561238205
%=CQC Inadequate,0.6807682720038444,0.6807682720038444
%=CQC Good,0.4108340945821611,-0.4108340945821611
Percent=65plus,0.3604699537871303,0.3604699537871303
Total=Population,0.31528214498512097,0.31528214498512097
%=CQC Outstanding,0.20568343942564338,0.20568343942564338
GDHI=per head 2022,0.10962958520377755,-0.10962958520377755
Care=Homes per 10k,0.0409841629534,0.0409841629534
%=CQC NotRated,0.0,0.0
