Term,MeanAbsSHAP,MeanSignedSHAP,dataset_column,Definition,ExpectedImpact,WhyItMatters,Unit,Range_min,Range_p25,Range_p50,Range_p75,Range_max
House=Price Growth %,4.259694053020085,4.259694053020085,House_Price_Growth_%,Percentage change in average house prices over the period (2020–2024).,higher_is_better,Signals local market momentum and potential capital appreciation.,percentage points,-83.88,-3.41,6.16,15.08,47.31
%=CQC RequiresImprovement,1.2599236561238203,-1.2599236561238203,%_CQC_RequiresImprovement,Share of CQC-registered homes rated 'Requires Improvement'.,lower_is_better,High proportion indicates quality risks and remediation costs.,%,0.0,11.725,18.6,24.125,100.0
%=CQC Inadequate,0.6807682720038444,0.6807682720038444,%_CQC_Inadequate,Share of CQC-registered homes rated 'Inadequate'.,lower_is_better,Indicates severe quality shortcomings and potential regulatory pressure.,%,0.0,0.0,0.0,1.925,18.18
%=CQC Good,0.4108340945821611,-0.4108340945821611,%_CQC_Good,Share of CQC-registered homes rated 'Good'.,higher_is_better,Higher share suggests a healthier care environment and lower operational risk.,%,0.0,70.88499999999999,76.47,83.395,96.67
Percent=65plus,0.3604699537871303,0.3604699537871303,Percent_65plus,Population aged 65+ as a share of total population.,higher_is_better,Larger elderly cohort typically raises demand for care places.,%,5.81,16.925,19.78,23.119999999999997,34.18
Total=Population,0.3152821449851209,0.3152821449851209,Total_Population,Resident population (latest available year).,higher_is_better,Bigger markets can support a wider range of care provision.,people,2229.0,108511.0,146655.0,237948.5,1166049.0
%=CQC Outstanding,0.2056834394256433,0.2056834394256433,%_CQC_Outstanding,Share of CQC-registered homes rated 'Outstanding'.,higher_is_better,Top-rated provision signals strong service quality and reputation.,%,0.0,0.0,3.12,6.25,25.0
GDHI=per head 2022,0.1096295852037775,-0.1096295852037775,GDHI_per_head_2022,Gross disposable household income per head (2022).,higher_is_better,Higher incomes support fee sustainability and private-pay demand.,£ per person,15075.0,19460.0,22236.0,25884.0,96578.0
Care=Homes per 10k,0.0409841629534,0.0409841629534,Care_Homes_per_10k,"Number of registered care homes per 10,000 residents.",ambiguous,Higher supply can mean choice but may also reflect competition; interpret with demand metrics.,homes per 10k,0.3042972862768009,2.0714809145113566,2.653502346691138,3.5028662936006043,7.817919552506689
%=CQC NotRated,0.0,0.0,%_CQC_NotRated,Share of CQC-registered homes without a published rating.,lower_is_better,Unrated stock increases uncertainty around quality and compliance.,%,0.0,0.0,0.0,0.0,0.0
