Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,7.9832552797449985,-7.9832552797449985
%=CQC Good,1.7702771686656966,-1.7702771686656966
House=Price Growth %,1.0913044758588808,-1.0913044758588808
Percent=65plus,0.6026308162577136,0.6026308162577136
Care=Homes per 10k,0.31858130391142137,0.31858130391142137
Total=Population,0.2500038932196003,-0.2500038932196003
%=CQC Inadequate,0.22360406182511625,-0.22360406182511625
GDHI=per head 2022,0.039801581802526485,0.039801581802526485
%=CQC Outstanding,0.017674132391870323,-0.017674132391870323
%=CQC NotRated,0.0,0.0
