Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.564021579138043,4.564021579138043
House=Price Growth %,1.9591915182074051,1.9591915182074051
Percent=65plus,0.61472611191656,-0.61472611191656
%=CQC Good,0.41551035107507917,0.41551035107507917
GDHI=per head 2022,0.24755795499305297,-0.24755795499305297
%=CQC Inadequate,0.1982669200403689,0.1982669200403689
%=CQC Outstanding,0.14097052099839688,0.14097052099839688
Total=Population,0.12991536333741577,-0.12991536333741577
Care=Homes per 10k,0.11606676894679024,-0.11606676894679024
%=CQC NotRated,0.0,0.0
