Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.4185464518107045,4.4185464518107045
House=Price Growth %,2.639115811913716,-2.639115811913716
%=CQC Good,0.7802064721596405,-0.7802064721596405
Care=Homes per 10k,0.23065645750003366,0.23065645750003366
Total=Population,0.2134091025352678,-0.2134091025352678
%=CQC Inadequate,0.17491182619952308,-0.17491182619952308
Percent=65plus,0.1686124301791672,0.1686124301791672
GDHI=per head 2022,0.10773780987512017,0.10773780987512017
%=CQC Outstanding,0.08568475370864549,0.08568475370864549
%=CQC NotRated,0.0,0.0
