Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.9804028659376085,6.9804028659376085
House=Price Growth %,3.4702782250418536,3.4702782250418536
%=CQC Good,3.443363323729739,3.443363323729739
%=CQC Inadequate,0.9419304745871437,0.9419304745871437
Percent=65plus,0.654835395135656,0.654835395135656
%=CQC Outstanding,0.28066184039568676,-0.28066184039568676
Total=Population,0.20355896138559876,-0.20355896138559876
Care=Homes per 10k,0.0807330705481083,0.0807330705481083
GDHI=per head 2022,0.0033721370666882034,0.0033721370666882034
%=CQC NotRated,0.0,0.0
