Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.6176566886928914,-3.6176566886928914
%=CQC RequiresImprovement,3.074982709639562,-3.074982709639562
Percent=65plus,0.7359417096695033,-0.7359417096695033
%=CQC Inadequate,0.18624938079833955,-0.18624938079833955
Total=Population,0.15615604888331638,-0.15615604888331638
%=CQC Good,0.15242835964147983,-0.15242835964147983
Care=Homes per 10k,0.0740126421361153,0.0740126421361153
GDHI=per head 2022,0.03372696412711148,0.03372696412711148
%=CQC Outstanding,0.02456998132737853,0.02456998132737853
%=CQC NotRated,0.0,0.0
