Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.407875108948407,-8.407875108948407
%=CQC Good,1.8480637574862353,-1.8480637574862353
Percent=65plus,1.2296607878455346,-1.2296607878455346
House=Price Growth %,1.0866413568053443,-1.0866413568053443
Total=Population,0.24772113772348686,-0.24772113772348686
%=CQC Inadequate,0.21774899649177587,-0.21774899649177587
Care=Homes per 10k,0.1500170365506221,-0.1500170365506221
GDHI=per head 2022,0.04776280824989457,0.04776280824989457
%=CQC Outstanding,0.017960063867009664,0.017960063867009664
%=CQC NotRated,0.0,0.0
