Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.634402129034736,8.634402129034736
House=Price Growth %,2.326479046668485,2.326479046668485
%=CQC Good,1.3516674740094559,1.3516674740094559
Percent=65plus,0.647205592589565,0.647205592589565
%=CQC Inadequate,0.1847278197729472,-0.1847278197729472
Care=Homes per 10k,0.13679581251220277,0.13679581251220277
%=CQC Outstanding,0.10218983133614486,0.10218983133614486
GDHI=per head 2022,0.07563807634477654,0.07563807634477654
Total=Population,0.06705545245687027,-0.06705545245687027
%=CQC NotRated,0.0,0.0
