Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.338202597230541,-5.338202597230541
House=Price Growth %,2.260902951772119,2.260902951772119
%=CQC Good,1.0138603570035944,-1.0138603570035944
%=CQC Outstanding,0.2247284395453095,0.2247284395453095
GDHI=per head 2022,0.20156220034946293,0.20156220034946293
Care=Homes per 10k,0.1634213900704102,-0.1634213900704102
Total=Population,0.1157065244616508,-0.1157065244616508
%=CQC Inadequate,0.10682547342433839,-0.10682547342433839
Percent=65plus,0.08228255921088373,-0.08228255921088373
%=CQC NotRated,0.0,0.0
