Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,4.8787149549224615,4.8787149549224615
%=CQC RequiresImprovement,1.187954275913768,-1.187954275913768
%=CQC Good,0.6355577798226721,-0.6355577798226721
Percent=65plus,0.5032781630791937,0.5032781630791937
Total=Population,0.23411204875839411,0.23411204875839411
%=CQC Outstanding,0.19464327508235713,0.19464327508235713
Care=Homes per 10k,0.1786629765306518,0.1786629765306518
GDHI=per head 2022,0.14646457089773815,0.14646457089773815
%=CQC Inadequate,0.14176924326886192,-0.14176924326886192
%=CQC NotRated,0.0,0.0
