Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.8872091097502506,3.8872091097502506
House=Price Growth %,1.3887422590020249,-1.3887422590020249
%=CQC Good,0.7316696042815044,0.7316696042815044
%=CQC Outstanding,0.5455200748055823,-0.5455200748055823
Percent=65plus,0.24803380615227058,-0.24803380615227058
%=CQC Inadequate,0.20895903730974943,-0.20895903730974943
Total=Population,0.18886977169276414,0.18886977169276414
Care=Homes per 10k,0.1837945959540407,-0.1837945959540407
GDHI=per head 2022,0.10699597776464641,0.10699597776464641
%=CQC NotRated,0.0,0.0
