Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,4.467139348291952,4.467139348291952
House=Price Growth %,3.4780919405418156,3.4780919405418156
Percent=65plus,0.31333615726379543,0.31333615726379543
%=CQC Good,0.24051439779781159,-0.24051439779781159
GDHI=per head 2022,0.22645032334762527,-0.22645032334762527
%=CQC Inadequate,0.15166310810477435,-0.15166310810477435
Care=Homes per 10k,0.1387675804402011,0.1387675804402011
%=CQC Outstanding,0.11950648412779183,-0.11950648412779183
Total=Population,0.04119397710578528,0.04119397710578528
%=CQC NotRated,0.0,0.0
