Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.182256124197963,3.182256124197963
House=Price Growth %,3.093144167373899,3.093144167373899
%=CQC Good,0.7736719847452489,-0.7736719847452489
Percent=65plus,0.1593219292670728,0.1593219292670728
%=CQC Outstanding,0.1158471374827232,0.1158471374827232
%=CQC Inadequate,0.07153308159195298,0.07153308159195298
Total=Population,0.032315526371879316,-0.032315526371879316
GDHI=per head 2022,0.025436573938834788,0.025436573938834788
Care=Homes per 10k,0.022343187530211424,0.022343187530211424
%=CQC NotRated,0.0,0.0
