Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.1571276255131027,3.1571276255131027
%=CQC Inadequate,1.015663322553246,1.015663322553246
House=Price Growth %,0.38306128504549325,0.38306128504549325
GDHI=per head 2022,0.21717845250719897,0.21717845250719897
Care=Homes per 10k,0.20246098661905526,0.20246098661905526
%=CQC Outstanding,0.1972465267497724,0.1972465267497724
Percent=65plus,0.09493126914868193,-0.09493126914868193
%=CQC Good,0.06688363951932313,0.06688363951932313
Total=Population,0.03499587909300741,-0.03499587909300741
%=CQC NotRated,0.0,0.0
