Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.7532803040756746,3.7532803040756746
Percent=65plus,0.6232586364758711,0.6232586364758711
%=CQC RequiresImprovement,0.5759040417757366,-0.5759040417757366
%=CQC Good,0.37312902573451817,-0.37312902573451817
Total=Population,0.25004425479747533,-0.25004425479747533
%=CQC Outstanding,0.13821741226272843,0.13821741226272843
Care=Homes per 10k,0.11795868182183569,0.11795868182183569
%=CQC Inadequate,0.09258394807721308,0.09258394807721308
GDHI=per head 2022,0.0367269701401048,-0.0367269701401048
%=CQC NotRated,0.0,0.0
