Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,9.060926925529081,-9.060926925529081
%=CQC RequiresImprovement,6.612328396581815,-6.612328396581815
Total=Population,0.5367948882394202,-0.5367948882394202
Percent=65plus,0.5365152300393773,0.5365152300393773
%=CQC Good,0.4817870978343221,-0.4817870978343221
%=CQC Outstanding,0.13868013998588177,-0.13868013998588177
GDHI=per head 2022,0.0860924400667776,-0.0860924400667776
%=CQC Inadequate,0.04825264800926277,-0.04825264800926277
Care=Homes per 10k,0.03964199647269364,0.03964199647269364
%=CQC NotRated,0.0,0.0
