Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,10.00212860480271,10.00212860480271
House=Price Growth %,4.340861665840244,-4.340861665840244
%=CQC Good,2.6193893165853877,2.6193893165853877
Percent=65plus,0.596005635141708,-0.596005635141708
%=CQC Outstanding,0.260529386201717,0.260529386201717
%=CQC Inadequate,0.2218845664687305,-0.2218845664687305
Total=Population,0.16639765934796705,-0.16639765934796705
GDHI=per head 2022,0.09140553209596292,-0.09140553209596292
Care=Homes per 10k,0.03509755842972218,-0.03509755842972218
%=CQC NotRated,0.0,0.0
