Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,8.563013361440552,-8.563013361440552
%=CQC RequiresImprovement,8.010408128073836,-8.010408128073836
%=CQC Good,1.898912542334275,-1.898912542334275
Percent=65plus,1.0370614165144174,-1.0370614165144174
%=CQC Inadequate,0.1466448206155304,-0.1466448206155304
Care=Homes per 10k,0.14232533636185263,-0.14232533636185263
GDHI=per head 2022,0.023979966646615915,-0.023979966646615915
Total=Population,0.015071500481473654,0.015071500481473654
%=CQC Outstanding,0.00793123822884946,-0.00793123822884946
%=CQC NotRated,0.0,0.0
