Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.137656015719221,5.137656015719221
House=Price Growth %,1.5121892688345455,-1.5121892688345455
%=CQC Good,0.3822592380012124,0.3822592380012124
GDHI=per head 2022,0.2444593043253683,0.2444593043253683
%=CQC Inadequate,0.2187976656017553,-0.2187976656017553
Total=Population,0.21243895109078004,-0.21243895109078004
Care=Homes per 10k,0.17622938315672348,-0.17622938315672348
Percent=65plus,0.1374586539327231,-0.1374586539327231
%=CQC Outstanding,0.045234054836216536,0.045234054836216536
%=CQC NotRated,0.0,0.0
