Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.7388465768930685,-3.7388465768930685
%=CQC RequiresImprovement,3.1037832055156613,-3.1037832055156613
Percent=65plus,0.764398736120943,0.764398736120943
%=CQC Inadequate,0.6750550876057652,0.6750550876057652
%=CQC Good,0.3574058736212826,0.3574058736212826
Total=Population,0.13678853408321434,0.13678853408321434
Care=Homes per 10k,0.08770128002111006,0.08770128002111006
%=CQC Outstanding,0.029480306695551663,-0.029480306695551663
GDHI=per head 2022,0.011944732082539721,-0.011944732082539721
%=CQC NotRated,0.0,0.0
