Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,12.815758722200476,12.815758722200476
House=Price Growth %,7.3069682873251365,-7.3069682873251365
%=CQC Good,5.876354569431899,5.876354569431899
%=CQC Inadequate,0.7436490017946386,0.7436490017946386
Percent=65plus,0.6849298820619752,-0.6849298820619752
%=CQC Outstanding,0.4155370347891832,0.4155370347891832
Total=Population,0.10904397510149172,0.10904397510149172
Care=Homes per 10k,0.0740706459015469,-0.0740706459015469
GDHI=per head 2022,0.061820202236473935,0.061820202236473935
%=CQC NotRated,0.0,0.0
