Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.495697144444874,3.495697144444874
%=CQC Good,0.49047404095121083,-0.49047404095121083
%=CQC RequiresImprovement,0.3054796811548246,-0.3054796811548246
Total=Population,0.23495856479462635,-0.23495856479462635
GDHI=per head 2022,0.15446680242643104,-0.15446680242643104
%=CQC Outstanding,0.1532217905519164,0.1532217905519164
Percent=65plus,0.12771437725887155,0.12771437725887155
%=CQC Inadequate,0.11486031242476545,0.11486031242476545
Care=Homes per 10k,0.019780154912162166,0.019780154912162166
%=CQC NotRated,0.0,0.0
