Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,2.508582023221262,-2.508582023221262
House=Price Growth %,2.1178137306323634,2.1178137306323634
Percent=65plus,0.9648500570371302,0.9648500570371302
%=CQC Good,0.34042484579482135,-0.34042484579482135
Total=Population,0.14951091910002878,-0.14951091910002878
%=CQC Outstanding,0.14262175856254666,0.14262175856254666
%=CQC Inadequate,0.12371455657862016,-0.12371455657862016
Care=Homes per 10k,0.07021185807339028,0.07021185807339028
GDHI=per head 2022,0.06892963065480254,0.06892963065480254
%=CQC NotRated,0.0,0.0
