Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,3.591980626422655,3.591980626422655
House=Price Growth %,2.421817059342488,2.421817059342488
Percent=65plus,0.6646547088432158,0.6646547088432158
%=CQC Good,0.5660598666153882,-0.5660598666153882
Care=Homes per 10k,0.21083390971945834,0.21083390971945834
%=CQC Inadequate,0.17577805428337004,-0.17577805428337004
GDHI=per head 2022,0.12555005189522134,0.12555005189522134
%=CQC Outstanding,0.10783639785297963,-0.10783639785297963
Total=Population,0.056067347205797834,-0.056067347205797834
%=CQC NotRated,0.0,0.0
