Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,8.916430578050056,8.916430578050056
House=Price Growth %,3.8375365106862835,3.8375365106862835
%=CQC Good,0.6482312310490329,0.6482312310490329
%=CQC Outstanding,0.2168142076054502,0.2168142076054502
%=CQC Inadequate,0.2132622148736432,-0.2132622148736432
GDHI=per head 2022,0.1572623472062689,-0.1572623472062689
Total=Population,0.14781143646369577,-0.14781143646369577
Percent=65plus,0.058880912759100366,0.058880912759100366
Care=Homes per 10k,0.04183724865923585,0.04183724865923585
%=CQC NotRated,0.0,0.0
