Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.6753173187971475,-5.6753173187971475
%=CQC Good,0.7099315296995509,-0.7099315296995509
%=CQC Outstanding,0.4178166846343022,-0.4178166846343022
Percent=65plus,0.3403296669830853,0.3403296669830853
%=CQC Inadequate,0.2651371740926283,-0.2651371740926283
House=Price Growth %,0.24786899774386234,0.24786899774386234
Care=Homes per 10k,0.07001783339012323,-0.07001783339012323
GDHI=per head 2022,0.039499842407201,0.039499842407201
Total=Population,0.019616723745095932,0.019616723745095932
%=CQC NotRated,0.0,0.0
