Term,MeanAbsSHAP,MeanSignedSHAP
House=Price Growth %,3.6420892071109536,3.6420892071109536
%=CQC RequiresImprovement,3.189050588269023,-3.189050588269023
Percent=65plus,0.8224254243362,0.8224254243362
%=CQC Outstanding,0.7618705054541468,-0.7618705054541468
%=CQC Good,0.32468101499849517,0.32468101499849517
%=CQC Inadequate,0.2231974408037555,-0.2231974408037555
Care=Homes per 10k,0.17481956586050498,0.17481956586050498
Total=Population,0.13366539135647498,-0.13366539135647498
GDHI=per head 2022,0.034363403842757406,0.034363403842757406
%=CQC NotRated,0.0,0.0
