Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,2.4578493760872333,-2.4578493760872333
Percent=65plus,0.8336665672895741,0.8336665672895741
House=Price Growth %,0.33400282090525607,0.33400282090525607
GDHI=per head 2022,0.2790080449690592,0.2790080449690592
Care=Homes per 10k,0.20393059848915557,0.20393059848915557
%=CQC Inadequate,0.19679768691550809,-0.19679768691550809
%=CQC Outstanding,0.07017681927001215,0.07017681927001215
%=CQC Good,0.039210100110245644,-0.039210100110245644
Total=Population,0.02076700245543366,0.02076700245543366
%=CQC NotRated,0.0,0.0
