Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,6.6175499920897325,-6.6175499920897325
%=CQC Good,1.8590431752483736,-1.8590431752483736
House=Price Growth %,1.4311407587796254,-1.4311407587796254
%=CQC Inadequate,0.22280047237601053,-0.22280047237601053
Care=Homes per 10k,0.20351152116783822,-0.20351152116783822
%=CQC Outstanding,0.20181584091050433,0.20181584091050433
GDHI=per head 2022,0.19389172885727884,0.19389172885727884
Percent=65plus,0.07223322179323714,0.07223322179323714
Total=Population,0.029500181633990825,-0.029500181633990825
%=CQC NotRated,0.0,0.0
