Term,MeanAbsSHAP,MeanSignedSHAP
%=CQC RequiresImprovement,5.211569752668844,5.211569752668844
House=Price Growth %,1.7573339463475333,1.7573339463475333
Percent=65plus,0.8325806282948287,0.8325806282948287
%=CQC Good,0.8072507406511567,0.8072507406511567
%=CQC Outstanding,0.1958327659545496,-0.1958327659545496
%=CQC Inadequate,0.17815222508577214,-0.17815222508577214
Total=Population,0.15724106095693452,-0.15724106095693452
Care=Homes per 10k,0.14662888462302254,0.14662888462302254
GDHI=per head 2022,0.05515678967736696,0.05515678967736696
%=CQC NotRated,0.0,0.0
